State,,,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,,58.4%,,,"135,135,298",,"231,556,622","251,107,404",8.4%,"1,493,706","2,298,993","461,472","3,242,614","4,739,596",
Alabama,http://www.alabamavotes.gov/electionnight/statewideresultsbycontest.aspx?ecode=1000500,,58.7%,,,"2,115,000",,"3,606,103","3,773,719",2.6%,"31,691","53,640","8,097","69,826",,AL
Alaska,http://www.elect.alaska.net/,,60.6%,,,"315,000",,"519,501","554,802",4.3%,"5,216","7,077","2,210","11,389",,AK
Arizona,http://results.arizona.vote/2016/General/n1591/Results-State.html,,56.3%,,,"2,670,000",,"4,738,332","5,332,446",9.5%,"37,516","73,232","7,502","86,028",,AZ
Arkansas,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,,52.5%,,,"1,127,000",,"2,148,441","2,290,976",3.8%,"17,756","28,192","21,743","55,287",,AR
California,http://vote.sos.ca.gov/,,54.6%,,,"13,800,000",,"25,278,803","30,523,307",16.7%,"136,088",0,0,"136,088",,CA
,http://vote.sos.ca.gov/unprocessed-ballots-status/,,,,,,,,,,,,,,,
Colorado,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,,71.3%,,,"2,838,000",,"3,978,892","4,319,529",7.2%,"19,121",0,"10,067","29,188",,CO
Connecticut,http://ctemspublic.pcctg.net/#/home,,62.6%,,,"1,610,000",,"2,572,337","2,834,267",8.6%,"16,113",0,"2,564","18,677",,CT
Delaware,http://elections.delaware.gov/results/html/election.shtml,Official,64.0%,63.7%,58.5%,"444,000","441,590","693,659","755,123",6.0%,"6,625","15,665",676,"16,073",,DE
District of Columbia,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,,55.7%,,,"288,000",,"516,771","568,165",9.0%,0,0,0,0,,DC
Florida,http://enight.elections.myflorida.com/,,65.6%,,,"9,580,000",,"14,601,373","16,601,383",10.7%,"95,671","227,087","4,519","227,359",,FL
Georgia,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,,60.0%,,,"4,175,000",,"6,958,725","7,852,857",7.1%,"50,499","471,067","25,547","339,844",,GA
Hawaii,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,Official,42.5%,41.7%,37.8%,"437,664","428,937","1,029,072","1,133,641",8.7%,"5,721",0,0,"5,721",,HI
Idaho,http://www.sos.idaho.gov/ELECT/results/2016/General/ENR/statewide_total.html,,59.7%,,,"693,000",,"1,161,211","1,247,038",4.4%,"7,901","33,450","4,217","30,850",,ID
Illinois,,,60.1%,,,"5,400,000",,"8,983,758","9,913,610",8.9%,"46,465",0,0,"46,465",,IL
Indiana,http://www.in.gov/apps/sos/election/general/general2016,,56.2%,,,"2,731,000",,"4,860,929","5,073,952",3.6%,"28,638",0,0,"28,638",,IN
Iowa,https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,,68.6%,,,"1,575,000",,"2,297,129","2,413,678",3.5%,"8,686","29,929","5,769","31,215",,IA
Kansas,http://www.sos.ks.gov/ent/kssos_ent.html,,55.7%,,,"1,150,000",,"2,065,761","2,206,389",5.4%,"9,326","16,328","4,051","22,521",,KS
Kentucky,http://results.enr.clarityelections.com/KY/64180/182267/Web01/en/summary.html,,59.5%,,,"1,950,000",,"3,276,707","3,430,201",2.5%,"21,402","54,107","16,729","68,431",,KY
Louisiana,https://voterportal.sos.la.gov/Graphical,Official,60.2%,59.8%,56.6%,"2,040,000","2,029,032","3,391,431","3,582,215",2.8%,"37,881","40,979","29,619","90,448",,LA
Maine,,,69.9%,,,"740,000",,"1,058,306","1,075,396",1.6%,0,0,0,0,,ME
Maryland,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,,61.4%,,,"2,580,000",,"4,202,282","4,701,258",9.0%,"20,388","79,539","11,537","76,467",,MD
Massachusetts,,,65.3%,,,"3,253,000",,"4,978,165","5,477,195",8.9%,"10,014",0,0,"10,014",,MA
Michigan,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,,65.6%,,,"4,875,000",,"7,431,589","7,754,185",3.6%,"42,900",0,0,"42,900",,MI
Minnesota,http://electionresults.sos.state.mn.us/Results/President/100?officeInElectionId=10733,,74.2%,,,"2,946,000",,"3,972,330","4,245,020",4.7%,"10,003","97,661","6,642","71,335",,MN
Mississippi,,,53.5%,,,"1,165,000",,"2,177,349","2,269,052",1.9%,"18,756","34,398","9,883","47,902",,MS
Missouri,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,,61.9%,,,"2,800,000",,"4,519,978","4,720,503",2.6%,"31,432","47,303","18,495","76,417",,MO
Montana,http://mtelectionresults.gov/,,62.2%,,,"500,000",,"803,833","817,161",1.2%,"3,681",0,0,"3,681",,MT
Nebraska,http://electionresults.sos.ne.gov/,,61.7%,,,"835,000",,"1,353,558","1,440,465",5.1%,"5,221","12,940","1,067","13,534",,NE
Nevada,http://silverstateelection.com/,,57.1%,,,"1,125,000",,"1,970,426","2,282,757",12.6%,"12,537","12,027","5,927","25,199",,NV
New Hampshire,http://sos.nh.gov/2016GenResults.aspx,Official,72.6%,71.5%,69.2%,"755,850","744,158","1,041,147","1,075,861",3.0%,"2,867",0,0,"2,867",,NH
New Jersey,http://www.state.nj.us/state/elections/2016-results/2016-unofficial-general-results-president.pdf,,59.2%,,,"3,610,000",,"6,093,144","7,003,323",11.6%,"20,255","115,898","14,889","100,047",,NJ
New Mexico,http://electionresults.sos.state.nm.us/,,54.8%,,,"800,000",,"1,459,901","1,594,305",7.3%,"6,879","16,060","2,255","18,128",,NM
New York,http://nyenr.elections.state.ny.us/,,52.4%,,,"7,175,000",,"13,693,128","15,675,178",12.0%,"48,376",0,"44,889","93,265",,NY
North Carolina,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,,64.9%,,,"4,750,000",,"7,317,507","7,879,993",5.9%,"35,726","90,918","10,025","96,665",,NC
North Dakota,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,Official,60.1%,59.1%,57.5%,"349,945","344,360","582,534","599,062",2.5%,"1,700",0,0,"1,700",,ND
Ohio,https://vote.ohio.gov/,,64.5%,,,"5,650,000",,"8,753,269","9,023,729",2.4%,"51,024",0,0,"51,024",,OH
Oklahoma,https://www.ok.gov/elections/support/20161108_seb.html,Official,52.2%,52.0%,48.7%,"1,457,000","1,452,992","2,792,423","2,982,904",4.8%,"27,650","28,568","2,560","46,208",,OK
Oregon,http://results.oregonvotes.gov/resultsSW.aspx?type=FED&map=CTY,,66.9%,,,"2,010,000",,"3,006,638","3,237,993",6.7%,"15,075",0,0,"15,075",,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_NEW,,61.4%,,,"5,975,000",,"9,737,690","10,146,780",3.5%,"49,643",0,0,"49,643",,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,,58.8%,,,"462,000",,"786,111","849,165",7.0%,"3,294",0,0,"3,294",,RI
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,Official,57.3%,56.8%,54.2%,"2,123,584","2,103,027","3,702,997","3,880,323",3.4%,"20,917","35,096","5,225","45,796",,SC
South Dakota,http://electionresults.sd.gov/,,58.7%,,,"371,000",,"632,098","652,981",2.3%,"3,528",0,"2,611","6,139",,SD
Tennessee,http://elections.tn.gov/results.php,,51.0%,,,"2,500,000",,"4,900,137","5,166,504",3.7%,"28,495","62,950","13,498","77,245",,TN
Texas,https://enrpages.sos.state.tx.us/public/nov08_319.htm,,51.1%,,,"8,950,000",,"17,514,961","20,812,008",13.5%,"157,361","388,101","111,412","486,110",,TX
Utah,http://electionresults.utah.gov/elections/federal,,46.4%,,,"925,000",,"1,993,581","2,142,938",6.7%,"6,824",0,0,"6,824",,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,Official,64.6%,63.5%,62.1%,"320,467","315,067","496,439","507,643",2.2%,0,0,0,0,,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,,65.5%,,,"3,970,000",,"6,061,032","6,586,434",6.9%,"36,943","54,966","1,732","69,456",,VA
Washington,http://results.vote.wa.gov/results/current/,,64.4%,,,"3,300,000",,"5,123,524","5,691,442",8.6%,"17,345","94,112","9,880","79,928",,WA
West Virginia,http://services.sos.wv.gov/apps/elections/results/,,51.0%,,,"729,000",,"1,430,308","1,457,003",0.9%,"6,873","7,174","2,749","13,639",,WV
Wisconsin,,,68.3%,,,"2,935,000",,"4,295,057","4,502,492",3.1%,"22,097","46,212","20,010","67,986",,WI
Wyoming,http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,Official,60.0%,59.4%,57.0%,"258,788","255,849","431,011","449,055",2.7%,"2,330","5,196",715,"5,955",,WY